filename,sentence,labels,abstract,heading
1229-2860-1-SM.txt,Text mining dapat didefinisikan sebagai suatu proses menggali informasi oleh seorang user yang berinteraksi dengan sekumpulan dokumen menggunakan tools analisis yang merupakan komponen - komponen dalam data mining.,OTHERS,0,Abstrak
1229-2860-1-SM.txt,"Dalam text mining dikenal beberapa metode untuk klasifikasi teks, salah satunya adalah K - Nearest Neightbour ( KNN).",OTHERS,0,Abstrak
1229-2860-1-SM.txt,KNN adalah sebuah metode untuk melakukan klasifikasi terhadap objek berdasarkan data pembelajaran yang jaraknya paling dekat dengan objek tersebut .,OTHERS,0,Abstrak
1229-2860-1-SM.txt,Pada penelitian ini akan dilakukan klasifikasi terhadap dokumen teks menggunakan metode KNN berdasarkan winnowing fingerprint.,TOPIC,1,Abstrak
1229-2860-1-SM.txt,Winnowing adalah algoritma yang biasa digunakan untuk mendeteksi kesamaan isi suatu dokumen teks dengan cara memecah kalimat yang ada pada dokumen teks menjadi beberapa karakter sepanjang k - grams dan menghasilkan output berupa kumpulan nilai hash yang disebut fingerprint.,OTHERS,0,Abstrak
1229-2860-1-SM.txt,Penelitian ini mencoba untuk menjadikan fingerprint sebagai ciri suatu dokumen teks lalu mengelompokkan dokumen teks berdasarkan ciri tersebut .,TOPIC,1,Abstrak
1229-2860-1-SM.txt,Proses klasifikasi diawali dengan mengumpulkan dokumen latih yang akan dijadikan sebagai acuan dalam pengelompokan dokumen.,METHOD,1,Abstrak
1229-2860-1-SM.txt,Dokumen latih tersebut diproses dengan metode winnowing untuk mendapatkan ciri dari dokumen tersebut .,METHOD,1,Abstrak
1229-2860-1-SM.txt,"Dokumen uji yang ingin dikelompokkan juga harus melewati proses winnowing, setelah fingerprint didapat maka dilanjutkan dengan proses klasifikasi menggunakan metode KNN.",METHOD,1,Abstrak
1229-2860-1-SM.txt,Dari hasil pengujian terhadap 10 dokumen uji didapat nilai akurasi pengelompokan 80%.,RESULT,1,Abstrak
1229-2860-1-SM.txt,Pesatnya perkembangan teknologi informasi menyebabkan banyak informasi tidak lagi disimpan dalam bentuk berkas - berkas dokumen yang diletakkan di dalam lemari melainkan informasi disimpan dalam bentuk softcopy berupa dokumen digital.,OTHERS,0,PENDAHULUAN
1229-2860-1-SM.txt,Hal ini mempermudah dalam penyimpanan dan dalam memperbanyak suatu dokumen.,OTHERS,0,PENDAHULUAN
1229-2860-1-SM.txt,"Saat ini, jumlah dan keanekaragaman dokumen teks terus bertambah sehingga menyebabkan penumpukan dokumen.",BACKGROUND,1,PENDAHULUAN
1229-2860-1-SM.txt,Dokumen yang tersebar dan tidak terkoordinasi dengan baik akan menyulitkan user dalam mendapatkan informasi yang diinginkan.,BACKGROUND,1,PENDAHULUAN
1229-2860-1-SM.txt,"Sebagai contoh, user ingin mencari materi kuliah dan jurnal yang berhubungan dengan tema penelitian dibidang komputer.",OTHERS,0,PENDAHULUAN
